file_id,file_path,label,source,technique,split
VIVOSDEV01_VIVOSDEV01_R002,real/VIVOSDEV01_VIVOSDEV01_R002.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R003,real/VIVOSDEV01_VIVOSDEV01_R003.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R012,real/VIVOSDEV01_VIVOSDEV01_R012.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R034,real/VIVOSDEV01_VIVOSDEV01_R034.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R043,real/VIVOSDEV01_VIVOSDEV01_R043.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R057,real/VIVOSDEV01_VIVOSDEV01_R057.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R069,real/VIVOSDEV01_VIVOSDEV01_R069.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R071,real/VIVOSDEV01_VIVOSDEV01_R071.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R098,real/VIVOSDEV01_VIVOSDEV01_R098.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R099,real/VIVOSDEV01_VIVOSDEV01_R099.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R117,real/VIVOSDEV01_VIVOSDEV01_R117.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R139,real/VIVOSDEV01_VIVOSDEV01_R139.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R141,real/VIVOSDEV01_VIVOSDEV01_R141.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R150,real/VIVOSDEV01_VIVOSDEV01_R150.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R164,real/VIVOSDEV01_VIVOSDEV01_R164.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R170,real/VIVOSDEV01_VIVOSDEV01_R170.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_R172,real/VIVOSDEV01_VIVOSDEV01_R172.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_T002,real/VIVOSDEV01_VIVOSDEV01_T002.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_T043,real/VIVOSDEV01_VIVOSDEV01_T043.wav,real,vivos,natural,train
VIVOSDEV01_VIVOSDEV01_T048,real/VIVOSDEV01_VIVOSDEV01_T048.wav,real,vivos,natural,train
VIVOSDEV02_VIVOSDEV02_R005,real/VIVOSDEV02_VIVOSDEV02_R005.wav,real,vivos,natural,test_seen
VIVOSDEV02_VIVOSDEV02_R009,real/VIVOSDEV02_VIVOSDEV02_R009.wav,real,vivos,natural,test_seen
VIVOSDEV02_VIVOSDEV02_R015,real/VIVOSDEV02_VIVOSDEV02_R015.wav,real,vivos,natural,test_seen
VIVOSDEV02_VIVOSDEV02_R027,real/VIVOSDEV02_VIVOSDEV02_R027.wav,real,vivos,natural,test_seen
