experiment,type,set,accuracy,precision,recall,f1,eer
svm_lfcc,baseline,test_seen,0.8311,0.8592,0.7581,0.8055,0.2014
svm_lfcc,baseline,test_unseen,0.9342,0.8786,0.9950,0.9332,0.0464
svm_tone,baseline,test_seen,0.7387,0.7117,0.7289,0.7202,0.2600
svm_tone,baseline,test_unseen,0.7446,0.7291,0.7108,0.7198,0.2543
xgboost_tone,baseline,test_seen,0.7437,0.7197,0.7281,0.7239,0.2579
xgboost_tone,baseline,test_unseen,0.7785,0.7545,0.7708,0.7626,0.2221
mlp_wav2vec,baseline,test_seen,0.8295,0.8351,0.7857,0.8096,0.1993
mlp_wav2vec,baseline,test_unseen,0.9181,0.8626,0.9783,0.9168,0.0557
AASIST,baseline,test_seen,0.8361,0.9215,0.7048,0.7987,0.2114
AASIST,baseline,test_unseen,0.9719,0.9427,1.0000,0.9705,0.0000
svm_on_lfcc,swap,test_seen,0.8311,0.8592,0.7581,0.8055,0.2014
svm_on_lfcc,swap,test_unseen,0.9342,0.8786,0.9950,0.9332,0.0464
svm_on_tone,swap,test_seen,0.7387,0.7117,0.7289,0.7202,0.2600
svm_on_tone,swap,test_unseen,0.7446,0.7291,0.7108,0.7198,0.2543
svm_on_wav2vec,swap,test_seen,0.8365,0.8570,0.7748,0.8138,0.1929
svm_on_wav2vec,swap,test_unseen,0.8877,0.8667,0.8942,0.8802,0.1114
late_fusion_avg,fusion,test_seen,0.8411,0.8680,0.7731,0.8178,0.1850
late_fusion_avg,fusion,test_unseen,0.9462,0.9046,0.9875,0.9442,0.0493
svm_early_fusion,early_fusion,test_seen,0.8476,0.8700,0.7873,0.8266,0.1879
svm_early_fusion,early_fusion,test_unseen,0.6119,0.6945,0.2842,0.4033,0.3293
stacking_logreg,stacking,test_seen,0.8476,0.8777,0.7781,0.8249,0.1807
stacking_logreg,stacking,test_unseen,0.9469,0.8975,0.9992,0.9456,0.0264
